"","acc","prec","rec","di","amt"
"Black",0.71898197242842,0.329758713136729,0.891304347826087,1.10970342643248,138
"East Asian",0.71898197242842,0.304347826086957,0.925619834710744,1.15242734387828,121
"Indian",0.71898197242842,0.287539936102236,0.681818181818182,0.848886213124624,132
"Latino_Hispanic",0.71898197242842,0.285714285714286,0.417177914110429,0.5194003169057,163
"Middle Eastern",0.71898197242842,0.204620462046205,0.720930232558139,0.897582011396889,86
"Southeast Asian",0.71898197242842,0.244897959183673,0.626086956521739,0.779498992225741,115
"White",0.71898197242842,0.398416886543536,0.803191489361702,1,188
